DATE|CIVIC_BODY|CATEGORY|SUB_CATEGORY|AREA|LAT|LONG
22-Feb-16|BBMP|Road|Damage| Begur|12.870|77.628
22-Feb-16|BTP|Traffic|TrafficJam| Padmanabha Nagar|12.918|77.556
22-Feb-16|BBMP|Cleanliness|Garbage| Other||
22-Feb-16|Other|Other|Other| Vannarpet|12.954|77.621
22-Feb-16|Other|Other|Other| Vannarpet|12.954|77.621
22-Feb-16|BTP|Violation|Parking| Jaraganahalli|12.899|77.576
22-Feb-16|BTP|Violation|Parking| Jaraganahalli|12.899|77.576
22-Feb-16|Other|Other|Other| Dodda Bommasandra|13.063|77.563
22-Feb-16|BTP|Traffic|TrafficJam| Rajaji Nagar|12.972|77.595
22-Feb-16|Other|Other|Other| Hemmigepura|12.886|77.490
22-Feb-16|Other|Other|Other| Koramangala|12.932|77.623
22-Feb-16|Other|Other|Other| Koramangala|12.932|77.623
22-Feb-16|BBMP|Animals|StrayAnimal| Thanisandra|13.063|77.636
22-Feb-16|Other|Other|Other| Horamavu|13.027|77.661
22-Feb-16|BBMP|Animals|StrayAnimal| Madivala|12.923|77.617
22-Feb-16|BBMP|Road|Maintenance| Singasandra|12.880|77.646
22-Feb-16|BTP|Violation|Parking| Kadugodi|12.977|77.729
22-Feb-16|KSPCB|Pollution|Air| Hagadur|12.966|77.757
22-Feb-16|BTP|Violation|Traffic| Sriramamandira|12.946|77.591
22-Feb-16|BTP|Violation|Parking| Kadu Malleshwara||
22-Feb-16|BTP|Violation|Parking| Kadu Malleshwara||
22-Feb-16|BESCOM|Lights|Streelight| Kodigehalli|13.058|77.576
22-Feb-16|BBMP|Animals|StrayAnimal| Hanumantha Nagar|12.943|77.563
22-Feb-16|BTP|Traffic|TrafficJam| Thanisandra|13.063|77.636
22-Feb-16|BBMP|Animals|StrayAnimal| Hoodi|12.978|77.638
22-Feb-16|BTP|Traffic|TrafficJam| Shantala Nagar|12.972|77.513
22-Feb-16|BTP|Traffic|TrafficJam| A Narayanapura|12.993|77.673
22-Feb-16|BBMP|Road|Maintenance| Vasanthapura|12.894|77.552
22-Feb-16|BESCOM|Lights|Streelight| Vasanthapura|12.894|77.552
22-Feb-16|Other|Other|Other| Hoysala Nagar|13.017|77.667
22-Feb-16|BTP|Violation|Parking| Hoysala Nagar|13.017|77.667
22-Feb-16|BTP|Violation|Parking| Hoysala Nagar|13.017|77.667
22-Feb-16|BTP|Violation|Traffic| Kadugodi|12.977|77.729
22-Feb-16|Other|Other|Other| Mahalakshimpuram|13.011|77.604
22-Feb-16|KSPCB|Pollution|Air| Mahalakshimpuram|13.011|77.604
22-Feb-16|BMTC|Buses|MoreBuses| Hemmigepura|12.886|77.490
22-Feb-16|BBMP|Cleanliness|Garbage| Varthur|12.939|77.747
22-Feb-16|BBMP|Cleanliness|Garbage| Basavanapura|13.013|77.713
22-Feb-16|Other|Other|Other| Basavanapura|13.013|77.713
22-Feb-16|BBMP|Road|Maintenance| Begur|12.870|77.628
21-Feb-16|BESCOM|Lights|Streelight| Varthur|12.939|77.747
21-Feb-16|BTP|Violation|Traffic| Hsr Layout|12.910|77.645
21-Feb-16|BBMP|Cleanliness|Garbage| Kammanahalli|13.019|77.635
21-Feb-16|BTP|Violation|Traffic| Vijnana Nagar|12.978|77.682
21-Feb-16|BTP|Violation|Traffic| Koramangala|12.932|77.623
21-Feb-16|BBMP|Cleanliness|Garbage| Sarakki|12.910|77.573
21-Feb-16|Other|Other|Other| Sunkenahalli||
21-Feb-16|BTP|Traffic|TrafficJam| Suddagunte Palya|12.983|77.655
21-Feb-16|Other|Other|Other| Sriramamandira|12.946|77.591
21-Feb-16|BTP|Violation|Parking| Jayachamarajendra Nagar|12.987|77.547
21-Feb-16|BBMP|Cleanliness|Garbage| Konankunte|12.884|77.565
21-Feb-16|BWSSB|Water|Problem| Dayananda Nagar|12.989|77.564
21-Feb-16|BBMP|Animals|StrayAnimal| Hsr Layout|12.910|77.645
21-Feb-16|BBMP|Cleanliness|Garbage| Kodigehalli|13.058|77.576
21-Feb-16|BESCOM|Lights|Streelight| Kodigehalli|13.058|77.576
21-Feb-16|Other|Other|Other| Aramane Nagara|13.014|77.583
21-Feb-16|Other|Other|Other| Dodda Bidarakallu|13.033|77.491
21-Feb-16|BTP|Traffic|TrafficJam| Puttenahalli|12.894|77.581
21-Feb-16|Other|Other|Other| Konena Agrahara|12.958|77.661
21-Feb-16|BTP|Violation|Traffic| Sriramamandira|12.946|77.591
